date,play_total_day,profile_visit_day,like_total_day,share_total_day,comment_total_day,cover_ctr_day,followers_new,followers_lost,followers_total
2026-03-14,1656,171,229,2,8,25.0,-2,5,635
2026-03-15,4693,461,293,6,5,32.89,6,3,641
2026-03-16,731,87,19,1,2,73.33,-2,3,639
2026-03-17,517,52,13,0,0,35.14,-2,2,637
2026-03-18,366,34,14,0,0,19.35,-3,3,634
2026-03-19,354,26,8,0,-2,31.25,-1,2,633
2026-03-20,185,13,12,0,0,14.29,0,0,633
2026-03-21,272,23,14,1,0,72.73,2,0,635
2026-03-22,224,14,5,0,0,4.55,-1,1,634
2026-03-23,101,14,0,0,0,50.0,0,0,634
2026-03-24,96,11,2,1,0,25.0,0,0,634
2026-03-25,151,20,2,0,0,100.0,-1,1,633
2026-03-26,133,19,-2,4,0,100.0,-1,1,632
2026-03-27,35,6,2,0,0,100.0,1,0,633
2026-03-28,27,6,1,0,0,0.0,0,0,633
2026-03-29,28,9,0,0,0,50.0,0,0,633
2026-03-30,43,10,0,0,0,0.0,0,0,633
2026-03-31,59,14,0,0,0,83.33,-1,1,632
2026-04-01,57,8,1,0,0,83.33,-1,1,631
2026-04-02,38,1,0,0,0,0.0,1,0,632
2026-04-03,755,125,49,0,8,48.98,-2,4,630
2026-04-04,26644,4076,922,45,33,33.3,215,10,845
2026-04-05,2937,446,93,7,5,25.17,20,4,865
2026-04-06,4339,591,85,14,5,33.75,21,5,886
2026-04-07,2522,398,74,4,0,30.53,14,3,900
2026-04-08,1321,191,29,2,0,23.81,12,0,912
2026-04-09,2009,289,35,2,1,26.77,10,3,922
2026-04-10,1055,133,19,0,0,42.59,2,2,924
2026-04-11,828,100,13,1,0,39.71,4,0,928
2026-04-12,1124,126,18,1,1,18.6,4,0,932
